City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
110,Labytnangi,RU,2020-02-19 00:14:03,66.66,66.42,28.38,86,83,14.94,broken clouds,0,0
111,Lebu,CL,2020-02-19 00:14:03,-37.62,-73.65,58.46,76,0,12.53,clear sky,0,0
112,Esperance,AU,2020-02-19 00:14:03,-33.87,121.9,60.8,67,100,9.17,overcast clouds,0,0
113,Kapaa,US,2020-02-19 00:14:04,22.08,-159.32,82.4,69,90,21.92,light rain,0,0
114,Ulaangom,MN,2020-02-19 00:14:04,49.98,92.07,-9.81,99,100,1.25,light snow,0,0
115,Chapais,CA,2020-02-19 00:14:04,49.78,-74.85,14.0,85,90,8.05,light snow,0,0
116,Zhigansk,RU,2020-02-19 00:14:04,66.77,123.37,-19.93,97,96,10.76,overcast clouds,0,0
117,Bethel,US,2020-02-19 00:14:04,41.37,-73.41,45.0,100,90,3.36,light rain,0,0
118,Kurumkan,RU,2020-02-19 00:14:04,54.3,110.3,-5.35,74,53,1.83,broken clouds,0,0
119,Chuy,UY,2020-02-19 00:14:04,-33.7,-53.46,70.75,66,18,11.27,few clouds,0,0
120,East London,ZA,2020-02-19 00:14:05,-33.02,27.91,71.44,87,80,18.59,light rain,0,0
121,Cabra,ES,2020-02-19 00:14:05,37.47,-4.44,55.99,82,48,2.24,light rain,0,0
122,Iquitos,PE,2020-02-19 00:14:05,-3.75,-73.25,77.0,94,75,3.36,broken clouds,0,0
123,Mar Del Plata,AR,2020-02-19 00:11:45,-38.0,-57.56,64.4,77,20,4.7,few clouds,0,0
124,Faanui,PF,2020-02-19 00:14:05,-16.48,-151.75,82.69,77,99,12.55,overcast clouds,0,0
125,Yellowknife,CA,2020-02-19 00:14:05,62.46,-114.35,-7.01,63,75,16.11,broken clouds,0,0
126,Saint-Philippe,RE,2020-02-19 00:14:05,-21.36,55.77,78.8,78,10,4.7,light rain,0,0
127,Sao Filipe,CV,2020-02-19 00:14:05,14.9,-24.5,77.9,44,62,16.75,broken clouds,0,0
128,Krasnohrad,UA,2020-02-19 00:14:06,49.38,35.44,35.13,92,99,6.85,overcast clouds,0,0
129,Durango,MX,2020-02-19 00:13:03,24.83,-104.83,74.07,24,30,11.25,scattered clouds,0,0
130,Vestmannaeyjar,IS,2020-02-19 00:14:06,63.44,-20.27,37.67,59,98,14.27,light snow,0,0
131,Santa Maria,BR,2020-02-19 00:10:48,-29.68,-53.81,75.2,83,75,5.82,broken clouds,0,0
132,Les Cayes,HT,2020-02-19 00:14:06,18.2,-73.75,81.14,77,0,19.37,light rain,0,0
133,Olafsvik,IS,2020-02-19 00:14:06,64.89,-23.71,32.9,66,100,12.5,snow,0,0
134,Magugu,TZ,2020-02-19 00:14:06,-4.02,35.77,64.71,87,12,3.24,few clouds,0,0
135,Saskylakh,RU,2020-02-19 00:14:07,71.92,114.08,-10.44,86,0,6.31,clear sky,0,0
136,Powell River,CA,2020-02-19 00:11:20,49.85,-124.54,44.01,75,20,5.82,few clouds,0,0
137,Tateyama,JP,2020-02-19 00:14:07,34.98,139.87,48.2,45,20,21.92,few clouds,0,0
138,Sebastian,US,2020-02-19 00:11:03,35.17,-94.27,51.01,61,1,3.27,clear sky,0,0
139,Khatanga,RU,2020-02-19 00:14:07,71.97,102.5,-9.35,87,6,6.82,clear sky,0,0
140,Bamenda,CM,2020-02-19 00:14:07,5.95,10.16,62.73,29,10,1.79,clear sky,0,0
141,Manokwari,ID,2020-02-19 00:14:07,-0.87,134.08,72.63,90,100,3.91,light rain,0,0
142,Bredasdorp,ZA,2020-02-19 00:14:07,-34.53,20.04,69.8,77,100,14.99,overcast clouds,0,0
143,Luan,CH,2020-02-19 00:14:08,46.36,6.98,41.0,64,91,4.7,overcast clouds,0,0
144,Leningradskiy,RU,2020-02-19 00:14:08,69.38,178.42,-16.26,94,100,21.34,overcast clouds,0,0
145,Butaritari,KI,2020-02-19 00:14:08,3.07,172.79,83.89,76,0,20.56,light rain,0,0
146,Jumla,NP,2020-02-19 00:14:08,29.27,82.18,29.79,41,0,5.01,clear sky,0,0
147,Lhokseumawe,ID,2020-02-19 00:14:08,5.18,97.15,69.28,88,39,3.13,scattered clouds,0,0
148,Port Blair,IN,2020-02-19 00:14:08,11.67,92.75,77.0,88,20,2.24,mist,0,0
149,Novoagansk,RU,2020-02-19 00:14:08,61.94,76.66,20.35,95,99,14.16,light snow,0,0
150,Yemtsa,RU,2020-02-19 00:14:08,63.07,40.33,35.56,85,100,11.32,overcast clouds,0,0
151,Linaon,PH,2020-02-19 00:14:09,9.95,122.45,78.19,77,0,13.56,clear sky,0,0
152,Ouegoa,NC,2020-02-19 00:14:09,-20.35,164.43,85.51,54,3,5.46,clear sky,0,0
153,Clyde River,CA,2020-02-19 00:14:09,70.47,-68.59,-29.2,66,5,3.36,clear sky,0,0
154,Zaraza,VE,2020-02-19 00:14:09,9.35,-65.32,77.58,77,78,10.85,broken clouds,0,0
155,Aklavik,CA,2020-02-19 00:14:09,68.22,-135.01,8.6,77,90,4.7,overcast clouds,0,0
156,Marsa Matruh,EG,2020-02-19 00:14:10,31.35,27.25,55.4,71,40,5.82,scattered clouds,0,0
157,Peruibe,BR,2020-02-19 00:14:10,-24.32,-47.0,80.98,84,34,11.63,light rain,0,0
158,Vanavara,RU,2020-02-19 00:14:11,60.34,102.28,7.29,96,100,4.12,overcast clouds,0,0
159,Bac Lieu,VN,2020-02-19 00:14:12,9.29,105.72,75.13,65,5,9.37,clear sky,0,0
160,Dingle,PH,2020-02-19 00:14:12,11.0,122.67,75.09,84,50,15.39,light rain,0,0
161,Kavieng,PG,2020-02-19 00:14:13,-2.57,150.8,82.87,77,95,10.74,moderate rain,0,0
162,Aurangabad,IN,2020-02-19 00:12:02,19.88,75.33,63.77,23,0,4.36,clear sky,0,0
163,Hovd,MN,2020-02-19 00:14:13,48.01,91.64,3.54,85,90,2.39,overcast clouds,0,0
164,Westport,US,2020-02-19 00:13:39,41.14,-73.36,46.4,93,90,4.7,light rain,0,0
165,Iesolo,IT,2020-02-19 00:14:13,45.53,12.64,48.0,100,75,4.7,fog,0,0
166,Ixtapa,MX,2020-02-19 00:12:48,20.7,-105.2,77.0,73,5,9.17,clear sky,0,0
167,Salinopolis,BR,2020-02-19 00:14:13,-0.61,-47.36,81.0,82,100,21.41,light rain,0,0
168,Kaitangata,NZ,2020-02-19 00:14:13,-46.28,169.85,55.17,83,99,12.33,light rain,0,0
169,Hami,CN,2020-02-19 00:14:14,42.8,93.45,25.12,47,100,4.29,overcast clouds,0,0
170,Asau,RO,2020-02-19 00:14:14,46.43,26.4,43.0,93,90,2.24,overcast clouds,0,0
171,Albert Town,JM,2020-02-19 00:14:14,18.29,-77.54,80.6,83,20,21.92,few clouds,0,0
172,Senica,SK,2020-02-19 00:14:14,48.68,17.37,41.0,78,31,3.36,scattered clouds,0,0
173,Oranienburg,DE,2020-02-19 00:14:14,52.75,13.23,43.0,75,20,13.87,few clouds,0,0
174,Bengkulu,ID,2020-02-19 00:10:03,-3.8,102.27,73.08,93,66,3.8,light rain,0,0
175,Saint George,US,2020-02-19 00:11:27,37.1,-113.58,55.4,22,1,4.7,clear sky,0,0
176,Celestun,MX,2020-02-19 00:14:15,20.87,-90.4,79.93,76,24,17.56,few clouds,0,0
177,Ahipara,NZ,2020-02-19 00:14:15,-35.17,173.17,82.0,77,14,8.34,few clouds,0,0
178,Qabaqcol,AZ,2020-02-19 00:14:15,41.72,46.26,37.4,69,0,9.17,clear sky,0,0
179,Saldanha,ZA,2020-02-19 00:14:15,-33.01,17.94,71.6,64,0,4.7,clear sky,0,0
180,Tres Arroyos,AR,2020-02-19 00:14:15,-38.37,-60.28,64.38,25,0,8.55,clear sky,0,0
181,Necochea,AR,2020-02-19 00:12:09,-38.55,-58.74,57.0,94,3,0.83,clear sky,0,0
182,Tucuman,AR,2020-02-19 00:12:13,-26.82,-65.22,71.6,73,13,2.24,few clouds,0,0
183,Kokstad,ZA,2020-02-19 00:14:16,-30.55,29.42,57.16,99,100,3.58,light rain,0,0
184,Mehamn,NO,2020-02-19 00:14:16,71.04,27.85,24.8,62,75,19.46,broken clouds,0,0
185,Saint-Pierre,RE,2020-02-19 00:14:16,-21.34,55.48,78.8,78,0,4.7,light rain,0,0
186,Codrington,AU,2020-02-19 00:14:16,-38.27,141.97,61.7,75,49,21.65,light rain,0,0
187,Tignere,CM,2020-02-19 00:14:16,7.37,12.65,67.82,22,0,2.98,clear sky,0,0
188,Fare,PF,2020-02-19 00:14:16,-16.7,-151.02,82.76,75,81,12.46,broken clouds,0,0
189,Erenhot,CN,2020-02-19 00:14:16,43.65,111.98,12.6,89,12,2.35,few clouds,0,0
190,Alofi,NU,2020-02-19 00:14:16,-19.06,-169.92,84.2,70,40,8.05,scattered clouds,0,0
191,Pangnirtung,CA,2020-02-19 00:14:17,66.15,-65.71,-25.6,67,40,2.24,scattered clouds,0,0
192,Chokurdakh,RU,2020-02-19 00:14:17,70.63,147.92,-6.68,97,100,9.55,overcast clouds,0,0
193,Mushie,CD,2020-02-19 00:14:17,-3.02,16.9,72.12,97,87,5.86,moderate rain,0,0
194,Omboue,GA,2020-02-19 00:14:17,-1.57,9.26,75.65,94,63,1.14,light rain,0,0
195,Caravelas,BR,2020-02-19 00:14:17,-17.71,-39.25,80.67,85,8,11.83,light rain,0,0
196,Norman Wells,CA,2020-02-19 00:14:17,65.28,-126.83,-0.4,64,90,4.7,overcast clouds,0,0
197,Beringovskiy,RU,2020-02-19 00:12:07,63.05,179.32,-5.98,80,89,18.88,overcast clouds,0,0
198,Mitsamiouli,KM,2020-02-19 00:14:17,-11.38,43.28,84.61,70,83,6.11,broken clouds,0,0
