City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
354,San Pedro De Macoris,DO,80.6,scattered clouds,18.46,-69.3,Apartahotel Guaraguao
356,Kalmunai,LK,79.3,scattered clouds,7.42,81.82,VS Villa
359,Koumac,NC,85.51,clear sky,-20.57,164.28,Le Monitel
363,Amahai,ID,82.47,overcast clouds,-3.33,128.92,Hotel isabella
365,San Ignacio,BZ,89.6,few clouds,17.16,-89.07,Rainforest Haven Inn
366,Maracacume,BR,75.02,light rain,-2.04,-45.96,Pousada Da Francisca
367,Bandarbeyla,SO,76.98,light rain,9.49,50.81,REER XOOSHLE GROUP
372,Meulaboh,ID,81.05,light rain,4.14,96.13,Kost Pria
374,Fort Wellington,GY,79.86,light rain,6.4,-57.6,TE'AMO Entertainment Park
375,Road Town,VG,78.8,light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
376,Sassandra,CI,79.75,clear sky,4.95,-6.08,la terrasse
380,Ambon,ID,84.2,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
383,Acapulco,MX,86.0,clear sky,16.86,-99.89,Crowne Plaza Acapulco
385,Nanakuli,US,82.4,overcast clouds,21.39,-158.15,Camp Palehua
386,Miri,MY,75.2,broken clouds,4.41,114.01,"Mega Hotel, Miri"
388,Tautira,PF,87.8,scattered clouds,-17.73,-149.15,Pension Oaoa
389,Gladstone,AU,90.0,scattered clouds,-23.85,151.25,Metro Hotel and Apartments Gladstone
390,Molina,CL,84.2,clear sky,-35.12,-71.28,Hostal Pucará
391,Gigmoto,PH,77.27,light rain,13.78,124.39,Cj's Travellers Inn
395,Jaciara,BR,76.35,light rain,-15.97,-54.97,Taba Hotel
407,Tambacounda,SN,86.0,clear sky,13.75,-13.76,
410,Ransang,PH,79.63,clear sky,8.96,117.58,
413,Bairiki,KI,87.8,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
414,Ballina,AU,87.01,scattered clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
415,Vaitape,PF,82.69,overcast clouds,-16.52,-151.75,Conrad Bora Bora Nui
416,Waiuku,NZ,81.0,broken clouds,-37.25,174.75,Waiuku Lodge Motel
421,Kaeo,NZ,82.0,overcast clouds,-35.1,173.78,Bushido Lodge
424,Atambua,ID,80.26,light rain,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
425,Mbini,GQ,80.89,broken clouds,1.57,9.61,
431,Ngunguru,NZ,75.0,overcast clouds,-35.62,174.5,Pacific Rendezvous Motel Resort
434,San Carlos Del Zulia,VE,82.27,overcast clouds,9.0,-71.91,CHS
435,Trairi,BR,75.31,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
440,Tutoia,BR,75.99,moderate rain,-2.76,-42.27,Pousada Guará's
448,Tierra Colorada,MX,86.0,clear sky,17.17,-99.58,Finca Alarcon
450,Hatillo,PR,79.0,scattered clouds,18.49,-66.83,Hotel Parador El Buen Cafe
452,Honiara,SB,85.05,clear sky,-9.43,159.95,Heritage Park Hotel
454,Sorong,ID,78.22,overcast clouds,-0.88,131.25,The Waigo Hotel
456,Cap Malheureux,MU,78.8,light rain,-19.98,57.61,Pereybere Hotel & Spa
457,Mango,US,80.01,clear sky,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon
464,Tubuala,PA,84.2,scattered clouds,9.52,-79.03,
465,Yulara,AU,78.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
467,Las Tunas,CU,80.6,clear sky,20.96,-76.95,Hotel Cadillac
469,Mutis,CO,81.52,clear sky,6.23,-77.4,Paraiso Escondido
472,Sampit,ID,77.0,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
473,Aitape,PG,81.09,moderate rain,-3.14,142.35,
474,Santa Cruz,BO,84.2,broken clouds,-17.8,-63.17,Hotel Cortez
476,Namatanai,PG,79.83,moderate rain,-3.67,152.43,Namatanai Hotel
478,Marawi,PH,77.0,clear sky,8.0,124.29,Derogongan Residence
488,Kirakira,SB,84.74,light rain,-10.45,161.92,SanBiz Lodge
492,La Asuncion,VE,82.4,broken clouds,11.03,-63.86,Colinas de Matasiete
493,Daru,PG,85.5,overcast clouds,-9.08,143.21,New century hotel
495,Kulhudhuffushi,MV,81.5,few clouds,6.62,73.07,Haajy Guest House 1
498,San Patricio,MX,82.4,clear sky,19.22,-104.7,Hotel Cabo Blanco
501,Pouembout,NC,81.95,clear sky,-21.13,164.9,Camping de Tipenga
505,Ternate,ID,80.24,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
506,La Palma,US,75.0,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
507,Katobu,ID,81.21,broken clouds,-4.94,122.53,La Ode Gombe
511,Wamba,NG,76.23,scattered clouds,8.93,8.6,Roma Zee Guest House Annex
513,Port Macquarie,AU,89.01,few clouds,-31.43,152.92,Rydges Port Macquarie
516,Lima,PE,75.2,broken clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
517,Magdalena,PH,77.0,few clouds,14.2,121.43,"Green Nature Resort & Leisure Park, Nagcarlan, Laguna"
519,Dawei,MM,75.7,clear sky,14.08,98.2,Hotel Dawei
524,Neuquen,AR,84.2,clear sky,-38.95,-68.06,Hotel del Comahue
525,Garchitorena,PH,76.73,light rain,13.88,123.69,Jerry
532,Kibala,TD,78.8,clear sky,9.11,18.35,
534,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
536,Clarence Town,AU,84.0,clear sky,-32.58,151.78,River Downs Cottage
539,Contamana,PE,83.39,broken clouds,-7.33,-75.02,Shiringal Touristic Park
540,Biloela,AU,82.89,clear sky,-24.42,150.5,Silo Motor Inn
542,Ende,ID,82.69,overcast clouds,-8.84,121.66,Dwi Putra Hotel - Ende
543,Bonthe,SL,79.2,clear sky,7.53,-12.51,Bonthe Holiday Village
544,Takoradi,GH,77.97,light rain,4.88,-1.76,Raybow International Hotel
545,Alibag,IN,78.8,smoke,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
546,Eyl,SO,77.36,clear sky,7.98,49.82,Amiin Hotel
551,Santiago,CL,86.0,clear sky,-33.46,-70.65,Hotel Panamericano
552,Tecoanapa,MX,84.43,clear sky,16.52,-98.75,Hotel Manglares
